KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,,,,,,,,,,,,,,,,,,,,,,
#0082,,,Inspector Alert,,42886,http://www.pachube.com/feeds/42886,KEIOSTE94,WiFi,12/23/11,,shipped,1/14/12,"Shimoda, Softbank",34.678614,138.944016,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0083,,,Inspector Alert,,42887,http://www.pachube.com/feeds/42887,KEIOSTE95,WiFi,12/23/11,,shipped,,"Wajima, Softbank",37.392065,136.904912,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0084,,,Inspector Alert,,42888,http://www.pachube.com/feeds/42888,KEIOSTE96,WiFi,12/23/11,,shipped,1/8/12,"AomoriKankoDori, Softbank",40.806182,140.754854,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0085,,,Inspector Alert,,42889,http://www.pachube.com/feeds/42889,KEIOSTE97,WiFi,12/23/11,,shipped,1/7/12,"KanazawaKatamachi, Softbank",36.561398,136.653561,0.6,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0086,,,Inspector Alert,,42890,http://www.pachube.com/feeds/42890,KEIOSTE98,WiFi,12/23/11,,shipped,1/7/12,"Shiozawa, Softbank",37.041502,138.858104,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0087,,,Inspector Alert,A01969,42891,http://www.pachube.com/feeds/42891,KEIOSTE69,WiFi,1/20/12,,shipped,1/7/12,"JoetsuKenshin, Softbank",138.24086,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0088,,,Inspector Alert,,42892,http://www.pachube.com/feeds/42892,KEIOSTE100,WiFi,12/23/11,,shipped,1/19/12,"Tomidaimae, Softbank",137.187453,1.1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0089,,,Inspector Alert,,42896,http://www.pachube.com/feeds/42896,KEIOSTE101,WiFi,12/23/11,,shipped,1/8/12,"Otawara, Softbank",140.018424,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0090,,,Inspector Alert,,42897,http://www.pachube.com/feeds/42897,KEIOSTE102,WiFi,12/23/11,,shipped,1/7/12,"Utsunomiya, Softbank",139.867055,0.6,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0091,,,Inspector Alert,,42898,http://www.pachube.com/feeds/42898,KEIOSTE103,WiFi,12/23/11,,shipped,1/7/12,"Hamaoka, Softbank",34.639231,138.127694,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0092,,,Inspector Alert,,42899,http://www.pachube.com/feeds/42899,KEIOSTE104,WiFi,12/23/11,,shipped,1/11/11,"MinamiIchiban, Softbank",38.233146,140.329206,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0093,,,Inspector Alert,,42900,http://www.pachube.com/feeds/42900,KEIOSTE105,WiFi,12/23/11,,shipped,1/8/12,"Mutsu, Softbank",41.299082,141.19611,0.75,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0094,,,Inspector Alert,,42901,http://www.pachube.com/feeds/42901,KEIOSTE106,WiFi,12/23/11,,shipped,1/15/12,"Sakata, Softbank",38.90627,139.857264,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0095,,,Inspector Alert,,42902,http://www.pachube.com/feeds/42902,KEIOSTE107,WiFi,1/20/12,,,2/1/12,"Yotsukaido, Softbank",35.673949,140.16225,0.5,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0096,,,Inspector Alert,,42903,http://www.pachube.com/feeds/42903,KEIOSTE108,WiFi,12/23/11,,shipped,1/8/12,"Miyako, Softbank",39.636853,141.927825,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0097,,,Inspector Alert,,42904,http://www.pachube.com/feeds/42904,KEIOSTE109,WiFi,12/23/11,,shipped,1/10/12,"ChuoDori, Softbank",,,,,,,,,,,,,,,,,,,,,,,,,,,
#0099,,,Inspector Alert,,42906,http://www.pachube.com/feeds/42906,KEIOSTE111,WiFi,12/23/11,,shipped,,"Maizuru, Softbank",35.448414,135.340044,,,,,,,,,,,,,,,,,,,,,,,,,
#0100,,,Inspector Alert,,42907,http://www.pachube.com/feeds/42907,KEIOSTE112,WiFi,12/23/11,,shipped,1/13/12,"Kohama, Softbank",135.774792,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0101,,,Inspector Alert,,42908,http://www.pachube.com/feeds/42908,KEIOSTE113,WiFi,12/23/11,,shipped,1/14/12,"Sendaikuko, Softbank",31.809693,130.331881,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0102,,,Inspector Alert,,42909,http://www.pachube.com/feeds/42909,KEIOSTE114,WiFi,12/23/11,,shipped,1/23/12,"Iki, Softbank",1.2,Indoor,,1F,,,,,,,,,,,,,,,,,,,,,,,
#0103,,,Inspector Alert,,42910,http://www.pachube.com/feeds/42910,KEIOSTE115,WiFi,12/23/11,,shipped,1/14/12,"Karatsu, Softbank",33.429825,129.982086,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,
